,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2089,-0.09758908460649103,-0.24946711180638964,-0.43915146595189763,0.29734544695851073,95.0,-0.06503805841271584,-0.016584495747555085,-0.037856122142919627
3296,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,130.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
3545,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,128.0,-0.3413745311361879,-0.016603963123867246,1.5697199906242283
1267,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,99.0,-0.06503805841271584,-0.0166000132214271,1.6723312318646846
3643,0.9003204685701892,0.9398754433121258,-0.43915146595189763,0.29734544695851073,212.0,-0.3413745311361879,-0.016603370638501223,-0.5167085812650488
1579,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,65.0,1.3166443052046444,-0.016572504972290344,-0.5167085812650488
522,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,71.0,-0.06503805841271584,-0.016572504972290344,-0.3798935929444404
3183,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,110.0,-0.3413745311361879,-0.016593947299822585,-0.17467111046352796
983,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,99.0,1.3166443052046444,-0.016572504972290344,-0.4825048341848967
116,-1.0954986377831712,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,55.0,4.90901845060978,-0.016603652774389806,-0.5167085812650488
1896,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,68.0,-0.06503805841271584,-0.016572504972290344,0.09895886617768869
20,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,100.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
1619,1.3992752451585293,-0.24946711180638964,2.1170721569488684,0.29734544695851073,134.0,-0.06503805841271584,-0.016603398852090084,-0.2772823517039842
3361,-0.5965438611948312,-0.24946711180638964,-0.43915146595189763,-0.5468580609956214,125.0,-0.3413745311361879,-0.016572504972290344,-0.5167085812650488
